object_type,COM_x,COM_y,COM_z,x,y,z,orient_x,orient_y,orient_z,orient_w,held_fixed
cracker_box,-0.01,-0.01,0.08,-0.04998317375566718,0.07815334318703757,0.040844245321787216,0.01175676943669176,-0.7065915129614089,0.01172813353295038,0.7074267898992468,0
mustard_bottle,-0.005,-0.027,0.07,0.09797786954002155,0.11065020574982261,0.031022995326188636,0.7061610367456798,-0.03655909395988182,-0.03655901967168994,0.7061610729229871,0
bleach_cleanser,-0.025,0.012,0.1,0.028287533014530818,-0.06685251580030056,0.03598923355372104,-0.5011204904715013,-0.4988748966647352,0.4988929427950966,0.50110669835535,0
