object_type,COM_x,COM_y,COM_z,x,y,z,orient_x,orient_y,orient_z,orient_w,held_fixed
cracker_box,-0.01,-0.01,0.08,0.016839853002754757,0.009750671655270604,0.040906286164669,-0.008509824256009475,-0.7070784397061826,-0.007735038270542483,0.7070416056900439,0
pudding_box,0.0,0.0,0.015,0.09650592639481745,-0.11896070437596962,0.01598840986154414,-1.5419763778395577e-05,2.78854048707223e-06,0.9945280585915025,0.10446980630149516,0
sugar_box,-0.005,-0.03,0.12,-0.10423890564317072,-0.13780205469356882,0.027556610508446967,-0.07657949976812625,-0.7031835688606801,-0.0820325886591726,0.7020962206831024,0
