object_type,COM_x,COM_y,COM_z,x,y,z,orient_x,orient_y,orient_z,orient_w,held_fixed
pudding_box,0.0,0.0,0.015,-0.15081008464906,-0.18957423865966866,0.01598523979183359,-3.560339434290989e-05,2.386576350406729e-06,-0.856521930966365,0.5161106281606224,0
master_chef_can,-0.015,-0.01,0.06,-0.05166378851477293,-0.11657474747351693,0.06098994770173323,-2.221537732393007e-06,7.30566509738787e-06,-0.040090529463214175,0.9991960515279528,0
hammer,-0.03,0.0775169,0.015,-0.07414219208739989,-0.031204193665571776,0.015990071493653724,-4.875070617354211e-07,3.838885078174281e-07,-0.3934789929220934,0.9193336076357864,0
